ID;CreatedAt;User;Action;Type;Severity;Endpoint;Status;OldValue;NewValue
692;2026-03-23T16:41:50.398682200;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
693;2026-03-23T17:18:06.717050800;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
694;2026-03-23T17:18:44.000199300;null;MENU_CREATED;CREATE;INFO;null;null;"";"{'menuItemId':35,'label':'Stock Status','icon':'grid','link':'/stock-dashboard','parentId':null,'isTitle':false,'isLayout':false,'createdAt':'2026-03-23T17:18:43.9737492','updatedAt':'2026-03-23T17:18:43.9737492'}"
695;2026-03-23T17:19:49.097650200;null;MENU_CREATED;CREATE;INFO;null;null;"";"{'menuItemId':36,'label':'Scan History','icon':'table','link':'/scan-history','parentId':null,'isTitle':false,'isLayout':false,'createdAt':'2026-03-23T17:19:49.0789461','updatedAt':'2026-03-23T17:19:49.0789461'}"
696;2026-03-23T17:20:06.948201900;null;MENU_SAVED;CREATE;INFO;null;null;"";""
697;2026-03-23T17:20:12.312826400;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
698;2026-03-23T17:20:17.257408700;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
699;2026-03-23T17:32:47.379931600;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
700;2026-03-23T17:32:53.498015500;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
701;2026-03-23T17:52:56.936480500;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
702;2026-03-23T18:04:35.128858200;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
703;2026-03-23T18:04:49.594815500;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
704;2026-03-23T18:32:59.333360100;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
705;2026-03-23T18:33:25.641313200;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
706;2026-03-23T18:52:24.387137;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
707;2026-03-23T18:52:30.855161;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
708;2026-03-23T18:57:58.268603400;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
709;2026-03-23T19:04:38.669786900;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
710;2026-03-23T19:45:24.731711100;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
711;2026-03-23T19:45:51.683020400;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
712;2026-03-24T14:35:40.652647800;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
713;2026-03-24T14:35:53.575384900;admin;MENU_DELETED;DELETE;INFO;null;null;"{'menuItemId':35,'label':'Stock Status','icon':'grid','link':'/stock-dashboard','parent':null,'isTitle':false,'isLayout':false,'createdAt':'2026-03-23T17:18:43.973749','updatedAt':'2026-03-23T17:18:43.973749','roleMappings':[{'roleMenuMappingId':281,'createdAt':'2026-03-23T17:20:06.940173','updatedAt':'2026-03-23T17:20:06.940173'}]}";""
714;2026-03-24T14:35:59.145959900;admin;MENU_DELETED;DELETE;INFO;null;null;"{'menuItemId':36,'label':'Scan History','icon':'table','link':'/scan-history','parent':null,'isTitle':false,'isLayout':false,'createdAt':'2026-03-23T17:19:49.078946','updatedAt':'2026-03-23T17:19:49.078946','roleMappings':[{'roleMenuMappingId':282,'createdAt':'2026-03-23T17:20:06.940173','updatedAt':'2026-03-23T17:20:06.940173'}]}";""
715;2026-03-24T19:16:02.810949400;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
716;2026-03-24T19:26:32.249426700;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
717;2026-03-24T19:26:37.364183800;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
718;2026-03-24T19:39:42.475903100;admin;DECONNEXION;LOGOUT;INFO;null;null;"";""
719;2026-03-24T19:39:47.330949600;admin;CONNEXION_OK;LOGIN;INFO;null;200;"";""
720;2026-03-24T19:42:09.200168500;admin;MENU_CREATED;CREATE;INFO;null;null;"";"{'menuItemId':37,'label':'stockStatus','icon':'grid','link':'/stock-dashboard','parentId':null,'isTitle':false,'isLayout':false,'createdAt':'2026-03-24T19:42:09.1681364','updatedAt':'2026-03-24T19:42:09.1681364'}"
721;2026-03-24T19:42:21.010402800;admin;MENU_SAVED;CREATE;INFO;null;null;"";""
